unnamed0,unnamed1,unnamed2,unnamed3,unnamed4,unnamed5,unnamed6,unnamed7,MPU6050 is online...x-axis self test: acceleration trim within,y-axis self test: acceleration trim within,z-axis self test: acceleration trim within,x-axis self test: gyration trim within,y-axis self test: gyration trim within,z-axis self test: gyration trim within
6.62,-0.02,0,1,1.24,0.97,0.18,24.13,,,,,,
6.73,-0.01,0,1,1.24,0.63,0.16,24.11,,,,,,
6.5,-0.01,0,1,1.25,0.96,0.23,24.13,,,,,,
7.02,-0.01,0,1,1.25,0.63,0.25,24.1,,,,,,
7.53,-0.01,0,1,1.25,0.77,-0.06,24.13,,,,,,
7.12,-0.01,0,1,1.25,0.77,0.28,24.12,,,,,,
6.93,-0.01,0,1,1.25,0.54,0.03,24.12,,,,,,
6.93,-0.01,0,1,1.25,0.83,0.22,24.1,,,,,,
7.07,-0.01,0,1,1.25,0.51,0.09,24.12,,,,,,
6.92,-0.01,0,1,1.25,0.85,0.08,24.13,,,,,,
6.67,-0.01,0,1,1.25,0.66,0.36,24.11,,,,,,
6.69,-0.01,0,1,1.25,0.82,0.06,24.12,,,,,,
6.73,-0.01,0,1,1.25,0.55,-0.13,24.11,,,,,,
6.81,-0.01,0,1,1.25,0.81,0.1,24.12,,,,,,
7.26,-0.01,0,1,1.26,0.47,0.12,24.12,,,,,,
7.77,-0.01,0,1,1.25,0.79,0.01,24.14,,,,,,
7.31,-0.01,0,1,1.26,0.8,0.35,24.14,,,,,,
7.19,-0.01,0,1,1.25,0.52,0.22,24.13,,,,,,
7.2,-0.01,0,1,1.25,0.85,0.2,24.12,,,,,,
7.15,-0.01,0,1.01,1.25,0.7,-0.09,24.12,,,,,,
6.94,-0.01,0,1,1.26,0.64,0.23,24.13,,,,,,
6.86,-0.02,0,1,1.25,0.93,0.07,24.11,,,,,,
6.78,-0.01,0,1,1.25,0.61,0.03,24.13,,,,,,
6.91,-0.01,0,1,1.25,0.84,0.27,24.12,,,,,,
